District,Year,Offence Group,Total Number of Offences
Armadale District,10,Assault Police Officer,45.0
Armadale District,10,Attempted / Conspiracy to Murder,1.0
Armadale District,10,Breach of Family Violence Restraint Order,340.0
Armadale District,10,Breach of Police Order,74.0
Armadale District,10,Breach of Violence Restraint Order,109.0
Armadale District,10,Burglary (Dwelling),2429.0
Armadale District,10,Burglary (Non-Dwelling),531.0
Armadale District,10,Cause Bushfire,4.0
Armadale District,10,Cause Damage by Fire,93.0
Armadale District,10,Common Assault (Family),515.0
Armadale District,10,Common Assault (Non-Family),528.0
Armadale District,10,Criminal Damage,305.0
Armadale District,10,Cultivate or Manufacture Drugs,97.0
Armadale District,10,Damage,2574.0
Armadale District,10,Deprivation of Liberty,39.0
Armadale District,10,Driving Causing Death,5.0
Armadale District,10,Drug Dealing,75.0
Armadale District,10,Drug Possession,573.0
Armadale District,10,Forgery,7.0
Armadale District,10,Fraud (Credit Card),0.0
Armadale District,10,Fraud (Not Elsewhere Classified),452.0
Armadale District,10,Graffiti,836.0
Armadale District,10,Kidnapping / Child Stealing,2.0
Armadale District,10,Manslaughter,1.0
Armadale District,10,Murder,4.0
Armadale District,10,Non-Assaultive Sexual Offences,85.0
Armadale District,10,Other Drug Offences,4.0
Armadale District,10,Other Fire Related Offences,0.0
Armadale District,10,Possess Stolen Property,99.0
Armadale District,10,Possess Weapon to Cause Fear (Family),18.0
Armadale District,10,Possess Weapon to Cause Fear (Non-Family),69.0
Armadale District,10,Possession of Drug Paraphernalia,285.0
Armadale District,10,Receiving Stolen Property,34.0
Armadale District,10,Regulated Weapons Offences,159.0
Armadale District,10,Robbery (Business),7.0
Armadale District,10,Robbery (Non-Business),146.0
Armadale District,10,Serious Assault (Family),175.0
Armadale District,10,Serious Assault (Non-Family),300.0
Armadale District,10,Sexual Assault,300.0
Armadale District,10,Stealing (Not Elsewhere Classified),4857.0
Armadale District,10,Stealing From Dwelling,0.0
Armadale District,10,Stealing From Motor Vehicle (Contents or Parts),0.0
Armadale District,10,Stealing From Other Premises or Place,0.0
Armadale District,10,Stealing From Retail Premises (Shoplift),0.0
Armadale District,10,Stealing as a Servant,16.0
Armadale District,10,Stealing of Motor Vehicle,622.0
Armadale District,10,Threatening Behaviour (Family),57.0
Armadale District,10,Threatening Behaviour (Non-Family),151.0
Armadale District,11,Assault Police Officer,35.0
Armadale District,11,Attempted / Conspiracy to Murder,0.0
Armadale District,11,Breach of Family Violence Restraint Order,1285.0
Armadale District,11,Breach of Police Order,102.0
Armadale District,11,Breach of Violence Restraint Order,94.0
Armadale District,11,Burglary (Dwelling),2510.0
Armadale District,11,Burglary (Non-Dwelling),626.0
Armadale District,11,Cause Bushfire,14.0
Armadale District,11,Cause Damage by Fire,65.0
Armadale District,11,Common Assault (Family),743.0
Armadale District,11,Common Assault (Non-Family),494.0
Armadale District,11,Criminal Damage,255.0
Armadale District,11,Cultivate or Manufacture Drugs,99.0
Armadale District,11,Damage,2517.0
Armadale District,11,Deprivation of Liberty,28.0
Armadale District,11,Driving Causing Death,2.0
Armadale District,11,Drug Dealing,90.0
