District,Year,Offence Group,Total Number of Offences,Total Employed,Total Persons,Unemployed,Unemployment Rate (%)
Armadale District,16,Assault Police Officer,61.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Attempted / Conspiracy to Murder,0.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Breach of Family Violence Restraint Order,999.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Breach of Police Order,192.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Breach of Violence Restraint Order,165.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Burglary (Dwelling),2788.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Burglary (Non-Dwelling),844.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Cause Bushfire,10.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Cause Damage by Fire,86.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Common Assault (Family),1715.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Common Assault (Non-Family),725.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Criminal Damage,780.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Cultivate or Manufacture Drugs,69.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Damage,2393.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Deprivation of Liberty,31.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Driving Causing Death,3.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Drug Dealing,271.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Drug Possession,1633.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Forgery,26.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Fraud (Credit Card),0.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Fraud (Not Elsewhere Classified),1344.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Graffiti,212.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Kidnapping / Child Stealing,3.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Manslaughter,0.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Murder,2.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Non-Assaultive Sexual Offences,111.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Other Drug Offences,11.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Other Fire Related Offences,4.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Possess Stolen Property,366.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Possess Weapon to Cause Fear (Family),86.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Possess Weapon to Cause Fear (Non-Family),195.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Possession of Drug Paraphernalia,1090.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Receiving Stolen Property,53.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Regulated Weapons Offences,635.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Robbery (Business),24.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Robbery (Non-Business),137.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Serious Assault (Family),277.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Serious Assault (Non-Family),386.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Sexual Assault,354.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Stealing (Not Elsewhere Classified),8026.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Stealing From Dwelling,0.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Stealing From Motor Vehicle (Contents or Parts),0.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Stealing From Other Premises or Place,0.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Stealing From Retail Premises (Shoplift),0.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Stealing as a Servant,11.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Stealing of Motor Vehicle,813.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Threatening Behaviour (Family),239.0,221535.0,245095.0,23560.0,10.63
Armadale District,16,Threatening Behaviour (Non-Family),164.0,221535.0,245095.0,23560.0,10.63
Cannington District,16,Assault Police Officer,62.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Attempted / Conspiracy to Murder,0.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Breach of Family Violence Restraint Order,399.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Breach of Police Order,197.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Breach of Violence Restraint Order,101.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Burglary (Dwelling),3591.0,341107.0,375806.0,34699.0,10.17
