Region,LGA_2016,Annual_Income_Lower,Annual_Income_Upper,Annual_Income_Midpoint
Albany ,50080,47197.72,57780.39,52489.05
Armadale ,50210,47197.72,57780.39,52489.05
Ashburton ,50250,47197.72,57780.39,52489.05
Augusta-Margaret River ,50280,47197.72,57780.39,52489.05
Bassendean ,50350,47197.72,57780.39,52489.05
Bayswater ,50420,47197.72,57780.39,52489.05
Belmont ,50490,47197.72,57780.39,52489.05
Beverley ,50560,47197.72,57780.39,52489.05
Boddington ,50630,47197.72,57780.39,52489.05
Boyup Brook ,50770,47197.72,57780.39,52489.05
Bridgetown-Greenbushes ,50840,47197.72,57780.39,52489.05
Brookton ,50910,47197.72,57780.39,52489.05
Broome ,50980,47197.72,57780.39,52489.05
Broomehill-Tambellup ,51080,47197.72,57780.39,52489.05
Bruce Rock ,51120,47197.72,57780.39,52489.05
Bunbury ,51190,47197.72,57780.39,52489.05
Busselton ,51260,47197.72,57780.39,52489.05
Cambridge ,51310,47197.72,57780.39,52489.05
Canning ,51330,47197.72,57780.39,52489.05
Capel ,51400,47197.72,57780.39,52489.05
Carnamah ,51470,47197.72,57780.39,52489.05
Carnarvon ,51540,47197.72,57780.39,52489.05
Chapman Valley ,51610,47197.72,57780.39,52489.05
Chittering ,51680,47197.72,57780.39,52489.05
Claremont ,51750,47197.72,57780.39,52489.05
Cockburn ,51820,47197.72,57780.39,52489.05
Collie ,51890,47197.72,57780.39,52489.05
Coolgardie ,51960,47197.72,57780.39,52489.05
Coorow ,52030,47197.72,57780.39,52489.05
Corrigin ,52100,47197.72,57780.39,52489.05
Cottesloe ,52170,47197.72,57780.39,52489.05
Cranbrook ,52240,47197.72,57780.39,52489.05
Cuballing ,52310,47197.72,57780.39,52489.05
Cue ,52380,47197.72,57780.39,52489.05
Cunderdin ,52450,47197.72,57780.39,52489.05
Dalwallinu ,52520,47197.72,57780.39,52489.05
Dandaragan ,52590,47197.72,57780.39,52489.05
Dardanup ,52660,47197.72,57780.39,52489.05
Denmark ,52730,47197.72,57780.39,52489.05
Derby-West Kimberley ,52800,47197.72,57780.39,52489.05
Donnybrook-Balingup ,52870,47197.72,57780.39,52489.05
Dowerin ,52940,47197.72,57780.39,52489.05
Dumbleyung ,53010,47197.72,57780.39,52489.05
Dundas ,53080,47197.72,57780.39,52489.05
East Fremantle ,53150,47197.72,57780.39,52489.05
East Pilbara ,53220,47197.72,57780.39,52489.05
Esperance ,53290,47197.72,57780.39,52489.05
Exmouth ,53360,47197.72,57780.39,52489.05
Fremantle ,53430,47197.72,57780.39,52489.05
Gingin ,53570,47197.72,57780.39,52489.05
Gnowangerup ,53640,47197.72,57780.39,52489.05
Goomalling ,53710,47197.72,57780.39,52489.05
Gosnells ,53780,47197.72,57780.39,52489.05
